time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2024/10/19/10:29:02.465924,14956,1729301342,375187412,gps,2,0,37.238856399999996,126.7729236,29.706,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000361)",2
2024/10/19/10:29:02.587073,14957,1729301342,500187391,gps,2,0,37.2388574,126.7729239,29.705000000000002,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000361)",2
2024/10/19/10:29:02.746114,14958,1729301342,625187370,gps,2,0,37.2388585,126.77292419999999,29.707,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000361)",2
2024/10/19/10:29:02.828828,14959,1729301342,750187349,gps,2,0,37.2388597,126.77292449999999,29.704,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000361)",2
2024/10/19/10:29:02.959976,14960,1729301342,875187328,gps,2,0,37.238861,126.7729248,29.707,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000361)",2
2024/10/19/10:29:03.092965,14961,1729301343,187307,gps,2,0,37.238862399999995,126.77292519999999,29.706,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000361)",2
2024/10/19/10:29:03.211702,14962,1729301343,125187286,gps,2,0,37.2388638,126.77292569999999,29.712,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000361)",2
2024/10/19/10:29:03.340810,14963,1729301343,250187265,gps,2,0,37.2388654,126.7729262,29.713,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000361)",2
2024/10/19/10:29:03.468634,14964,1729301343,375187243,gps,2,0,37.2388671,126.7729267,29.72,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000361)",2
2024/10/19/10:29:03.585485,14965,1729301343,500187222,gps,2,0,37.2388689,126.77292729999999,29.721,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000361)",2
2024/10/19/10:29:03.703314,14966,1729301343,625187201,gps,2,0,37.2388708,126.7729279,29.72,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000361)",2
2024/10/19/10:29:03.835485,14967,1729301343,750187180,gps,2,0,37.238872799999996,126.77292849999999,29.725,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000361)",2
2024/10/19/10:29:03.960073,14968,1729301343,875187159,gps,2,0,37.2388748,126.77292899999999,29.72,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000361)",2
2024/10/19/10:29:04.099905,14969,1729301344,187138,gps,2,0,37.2388769,126.77292969999999,29.718,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:29:04.228182,14970,1729301344,125187117,gps,2,0,37.238878899999996,126.77293019999999,29.716,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:29:04.336560,14971,1729301344,250187096,gps,2,0,37.2388809,126.772931,29.718,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:29:04.465003,14972,1729301344,375187074,gps,2,0,37.2388829,126.77293159999999,29.721,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:29:04.579652,14973,1729301344,500187053,gps,2,0,37.2388848,126.7729323,29.72,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:29:04.746898,14974,1729301344,625187032,gps,2,0,37.238886699999995,126.77293309999999,29.722,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000361)",2
2024/10/19/10:29:04.959221,14975,1729301344,875186990,gps,2,0,37.238890399999995,126.7729347,29.721,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00048399999999999995)",2
2024/10/19/10:29:05.091388,14976,1729301345,186969,gps,2,0,37.2388921,126.7729356,29.721,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0004)",2
2024/10/19/10:29:05.210487,14977,1729301345,125186947,gps,2,0,37.2388938,126.77293639999999,29.726,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000361)",2
2024/10/19/10:29:05.344237,14978,1729301345,250186926,gps,2,0,37.2388954,126.77293739999999,29.734,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000361)",2
2024/10/19/10:29:05.463957,14979,1729301345,375186905,gps,2,0,37.238897,126.7729384,29.736,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:29:05.587060,14980,1729301345,500186884,gps,2,0,37.2388986,126.77293949999999,29.737000000000002,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:29:05.710112,14981,1729301345,625186862,gps,2,0,37.238900099999995,126.77294049999999,29.738,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:29:05.833984,14982,1729301345,750186841,gps,2,0,37.2389015,126.77294149999999,29.742,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:29:05.957816,14983,1729301345,875186820,gps,2,0,37.2389029,126.7729426,29.740000000000002,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:29:06.100336,14984,1729301346,186798,gps,2,0,37.2389043,126.7729438,29.743000000000002,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:29:06.216461,14985,1729301346,125186777,gps,2,0,37.238905599999995,126.7729449,29.744,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:29:06.336902,14986,1729301346,250186756,gps,2,0,37.238907,126.7729459,29.744,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:29:06.460690,14987,1729301346,375186734,gps,2,0,37.2389083,126.7729469,29.75,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:29:06.583809,14988,1729301346,500186713,gps,2,0,37.2389097,126.7729478,29.751,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:29:06.739584,14989,1729301346,625186692,gps,2,0,37.238911,126.7729487,29.758,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000361)",2
2024/10/19/10:29:06.831439,14990,1729301346,750186670,gps,2,0,37.238912299999996,126.77294959999999,29.756,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000361)",2
2024/10/19/10:29:06.955220,14991,1729301346,875186649,gps,2,0,37.2389136,126.7729504,29.754,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000361)",2
2024/10/19/10:29:07.086119,14992,1729301347,186628,gps,2,0,37.238914799999996,126.7729512,29.757,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000361)",2
2024/10/19/10:29:07.210961,14993,1729301347,125186607,gps,2,0,37.238915999999996,126.7729521,29.772000000000002,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00048399999999999995)",2
2024/10/19/10:29:07.326177,14994,1729301347,250186585,gps,2,0,37.238917199999996,126.77295289999999,29.787,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000576)",2
2024/10/19/10:29:07.455617,14995,1729301347,375186564,gps,2,0,37.238918399999996,126.77295369999999,29.798000000000002,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0006250000000000001)",2
2024/10/19/10:29:07.582109,14996,1729301347,500186543,gps,2,0,37.238919599999996,126.77295459999999,29.804000000000002,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000676)",2
2024/10/19/10:29:07.709441,14997,1729301347,625186521,gps,2,0,37.2389207,126.77295529999999,29.809,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000676)",2
2024/10/19/10:29:07.836340,14998,1729301347,750186500,gps,2,0,37.2389218,126.772956,29.807000000000002,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000676)",2
